#{"t_start": 1768235997.5382318, "env_id": "None"}
r,l,t
-1.02,3,16.92737
-0.29999998,30,17.02375
-0.29999998,30,17.109801
-0.29999998,30,17.199869
-0.29999998,30,17.287427
-0.29999998,30,17.374985
-0.29999998,30,17.462226
-0.29999998,30,17.545289
-0.29999998,30,17.631353
-0.29999998,30,17.721408
0.76,25,17.791954
-0.29999998,30,17.877515
-0.29999998,30,17.995238
0.76,25,18.071789
-0.29999998,30,18.158846
0.94,7,18.177863
-0.29999998,30,18.267429
-0.29999998,30,18.362075
-0.29999998,30,18.450212
-0.29999998,30,18.536767
0.93,8,18.558781
0.77,24,18.629833
-0.29999998,30,18.716461
-0.29999998,30,18.815037
0.88,13,18.857585
-0.29999998,30,18.950649
0.72,29,19.031699
-0.29999998,30,19.118264
-0.29999998,30,19.20532
-0.29999998,30,19.293876
-0.29999998,30,19.384968
-0.29999998,30,19.485032
-0.29999998,30,19.573588
-1.09,10,19.605108
-0.29999998,30,19.708703
-0.29999998,30,19.805372
-0.29999998,30,19.892426
-0.29999998,30,19.998012
-0.29999998,30,20.083581
-0.29999998,30,20.171151
-0.29999998,30,20.265718
-0.29999998,30,20.35979
-0.29999998,30,20.478367
-0.29999998,30,20.563925
-0.29999998,30,20.651497
-0.29999998,30,20.743755
-0.29999998,30,20.831808
-0.29999998,30,20.922873
-0.29999998,30,21.010931
-0.29999998,30,21.127535
-0.29999998,30,21.213093
-0.29999998,30,21.300649
-0.29999998,30,21.388206
0.76,25,21.471766
-0.29999998,30,21.557823
-0.29999998,30,21.646463
-0.29999998,30,21.733524
-0.29999998,30,21.822583
-0.29999998,30,21.91966
0.74,27,21.998209
-0.29999998,30,22.084818
0.88,13,22.129869
-0.29999998,30,22.216926
-0.29999998,30,22.305494
-0.29999998,30,22.394565
-0.29999998,30,22.483722
-0.29999998,30,22.569787
-0.29999998,30,22.66835
-0.29999998,30,22.756428
-0.29999998,30,22.842996
-0.29999998,30,22.936046
-0.29999998,30,23.023109
-0.29999998,30,23.108347
-0.29999998,30,23.196909
-0.29999998,30,23.289476
-0.29999998,30,23.375038
-0.29999998,30,23.461358
-0.29999998,30,23.551924
-0.29999998,30,23.638982
-0.29999998,30,23.725044
-0.29999998,30,23.810603
-0.29999998,30,23.902177
-0.29999998,30,23.985228
-0.29999998,30,24.073802
-1.03,4,24.08481
-0.29999998,30,24.173883
-0.29999998,30,24.262456
-0.29999998,30,24.349014
-0.29999998,30,24.433692
-0.29999998,30,24.521755
-0.29999998,30,24.611156
-0.29999998,30,24.698208
-0.29999998,30,24.784408
-0.29999998,30,24.874459
-0.29999998,30,24.96051
-0.29999998,30,25.048569
-0.29999998,30,25.133626
-0.29999998,30,25.229794
-0.29999998,30,25.318847
-1.12,13,25.35537
-0.29999998,30,25.442422
-0.29999998,30,25.53198
-0.29999998,30,25.618031
-0.29999998,30,25.706083
-0.29999998,30,25.796641
0.82,19,25.852173
-0.29999998,30,25.937725
-0.29999998,30,26.024784
-0.29999998,30,26.112836
-0.29999998,30,26.200025
-0.29999998,30,26.291585
-0.29999998,30,26.377138
-0.29999998,30,26.464697
-0.29999998,30,26.5614
-0.29999998,30,26.645952
-0.29999998,30,26.735503
0.71000004,30,26.823563
0.82,19,26.878594
0.87,14,26.92312
0.81,20,26.97866
0.87,14,27.018186
0.88,13,27.057712
-0.29999998,30,27.143765
0.86,15,27.191791
0.87,14,27.234316
-0.29999998,30,27.321368
-0.29999998,30,27.403919
-0.29999998,30,27.494122
0.74,27,27.572667
0.75,26,27.65972
0.87,14,27.708752
0.75,26,27.800803
-0.29999998,30,27.896354
-1.14,15,27.943017
0.88,13,27.978544
0.91,10,28.005557
-0.29999998,30,28.118122
0.73,28,28.244687
-0.29999998,30,28.364261
0.73,28,28.487834
-1.12,13,28.543373
0.84000003,17,28.617471
-0.29999998,30,28.723154
0.95,6,28.741167
0.90000004,11,28.7867
0.83,18,28.854388
-0.29999998,30,28.966459
0.71000004,30,29.065669
-0.29999998,30,29.184246
-0.29999998,30,29.319429
-0.29999998,30,29.438506
0.73,28,29.554577
-0.29999998,30,29.677154
-0.29999998,30,29.803732
-0.29999998,30,29.906797
-0.29999998,30,30.035874
-0.29999998,30,30.161453
-0.29999998,30,30.284492
-1.1800001,19,30.35904
0.92,9,30.395059
-0.29999998,30,30.513625
0.85,16,30.589685
0.74,27,30.689893
0.93,8,30.722913
-1.04,5,30.741926
0.78,23,30.84699
0.88,13,30.901522
0.86,15,30.964061
0.93,8,30.992093
0.90000004,11,31.038619
0.84000003,17,31.105664
0.90000004,11,31.146191
0.92,9,31.17821
0.93,8,31.217229
0.94,7,31.246748
0.95,6,31.273267
0.95,6,31.29778
0.88,13,31.359819
0.95,6,31.382832
0.95,6,31.400345
0.93,8,31.430365
0.94,7,31.464884
0.95,6,31.490397
0.94,7,31.519919
0.95,6,31.542932
0.95,6,31.573501
0.95,6,31.603643
0.95,6,31.630163
0.95,6,31.653178
0.95,6,31.681698
0.95,6,31.708709
0.95,6,31.73723
0.95,6,31.762746
0.95,6,31.790767
0.95,6,31.816281
0.95,6,31.844301
0.95,6,31.872326
0.89,12,31.921355
0.95,6,31.947373
0.95,6,31.976892
0.95,6,32.002548
0.95,6,32.030074
0.95,6,32.056589
0.95,6,32.082113
0.95,6,32.10113
0.95,6,32.126146
0.95,6,32.14916
0.94,7,32.173177
0.95,6,32.193188
0.95,6,32.223212
0.95,6,32.245727
0.95,6,32.274249
0.93,8,32.306273
0.95,6,32.327789
0.95,6,32.355808
0.95,6,32.380322
0.93,8,32.411347
0.95,6,32.439364
0.95,6,32.467385
0.94,7,32.48941
0.92,9,32.515944
0.93,8,32.549966
0.87,14,32.599017
-1.03,4,32.613024
-1.04,5,32.629574
0.90000004,11,32.675604
0.93,8,32.710133
0.95,6,32.736646
0.95,6,32.76317
0.95,6,32.790685
0.92,9,32.826824
0.91,10,32.872358
0.74,27,32.991094
0.90000004,11,33.042439
0.95,6,33.070964
0.95,6,33.100486
0.95,6,33.127506
0.92,9,33.168539
0.95,6,33.196065
0.95,6,33.222085
0.89,12,33.260613
0.95,6,33.288639
0.92,9,33.329174
0.91,10,33.373171
0.95,6,33.399187
0.93,8,33.434718
0.93,8,33.473237
0.93,8,33.50977
0.95,6,33.53665
0.95,6,33.564166
0.93,8,33.5987
0.95,6,33.625961
0.94,7,33.656989
0.95,6,33.680004
0.95,6,33.698017
