#{"t_start": 1768236100.5253232, "env_id": "None"}
r,l,t
0.8333334,30,18.387444
0.6666667,30,18.486015
1.8333334,25,18.560683
0.8333334,30,18.653237
0.8333334,30,18.746298
1.8333334,8,18.772325
0.8333334,30,18.868383
0.8333334,30,18.96244
0.8333334,30,19.059086
1.8333334,7,19.081599
0.8333334,30,19.175658
0.8333334,30,19.271716
0.8333334,30,19.364774
1.8333334,28,19.451832
0.8333334,30,19.544508
0.8333334,30,19.637066
0.8333334,30,19.728123
-0.8333333,2,19.73563
0.8333334,30,19.829187
0.6666667,30,19.927402
0.6666667,30,20.01996
0.6666667,30,20.115518
0.8333334,30,20.213077
0.8333334,30,20.314141
0.8333334,30,20.413198
0.8333334,30,20.512264
0.8333334,30,20.605315
0.8333334,30,20.701381
0.8333334,30,20.799432
0.8333334,30,20.893492
1.8333334,7,20.917004
0.6666667,30,21.013563
1.8333334,14,21.060596
0.8333334,30,21.155154
0.6666667,30,21.241132
0.8333334,30,21.339304
0.6666667,30,21.435867
1.8333334,28,21.524605
0.16666667,30,21.616661
0.0,30,21.710345
0.0,30,21.803902
0.16666664,30,21.90096
-2.9802322e-08,30,21.998517
0.3333333,30,22.090075
0.5,30,22.190135
0.6666667,30,22.300705
0.5,30,22.413776
0.8333334,30,22.530346
0.0,30,22.651051
0.0,30,22.769129
0.0,30,22.885205
0.0,30,23.009775
0.0,30,23.128783
0.0,30,23.236849
0.6666667,30,23.35342
0.8333334,30,23.459984
0.8333334,30,23.571055
0.6666667,30,23.697132
0.5,30,23.8087
0.8333334,30,23.918268
-0.8333333,4,23.930274
0.5,30,24.039441
-2.9802322e-08,30,24.168521
0.16666667,30,24.259575
0.33333334,30,24.35313
-0.8333334,20,24.439273
-0.8333333,9,24.476793
0.5,30,24.60486
0.16666664,30,24.735943
0.16666667,30,24.853015
0.16666667,30,24.972599
-0.8333333,11,25.02013
0.16666664,30,25.123688
0.8333334,30,25.255259
0.5,30,25.374756
0.6666667,30,25.504412
0.8333334,30,25.638009
1.8333334,19,25.715077
1.8333334,21,25.788681
1.8333334,27,25.874981
1.8333334,7,25.896512
1.8333334,21,25.982593
0.8333334,30,26.097713
0.8333334,30,26.2198
-0.8333333,7,26.248829
0.8333334,30,26.35796
0.8333334,30,26.463079
0.6666667,30,26.591178
0.8333334,30,26.716331
0.5,30,26.851018
0.5,30,26.967091
0.6666667,30,27.088808
0.6666667,30,27.225904
0.5,30,27.349482
0.6666667,30,27.471559
0.6666667,30,27.589141
0.3333333,30,27.691196
0.6666667,30,27.809776
0.5,30,27.93886
0.8333334,30,28.042434
-0.8333333,2,28.048434
0.8333334,30,28.164551
0.8333334,30,28.297123
0.8333334,30,28.416195
0.6666667,30,28.54139
0.6666667,30,28.638961
1.8333334,29,28.758523
1.8333334,22,28.845078
0.8333334,30,28.931131
0.8333334,30,29.029199
0.6666667,30,29.125258
0.5,30,29.218316
0.5,30,29.320879
0.8333334,30,29.404931
0.6666667,30,29.496105
0.8333334,30,29.595669
0.8333334,30,29.684723
1.8333334,30,29.786797
0.8333334,30,29.889007
0.8333334,30,29.987568
